TRIP1697123456789,27.7172,85.3240,28.2096,83.9856,200.0,30.0,2025-03-14 10:00:00,null,Tata Nexon EV,1|CS1:27.9634:84.6548TRIP1741937927595,27.6833,84.4333,28.34306490482549,83.408203125,135.31593539975407,20.29739030996311,2025-03-14 13:23:47,null,tata,0
TRIP1741937929538,27.6833,84.4333,28.34306490482549,83.408203125,135.31593539975407,20.29739030996311,2025-03-14 13:23:49,null,tata,0
TRIP1741937930481,27.6833,84.4333,28.34306490482549,83.408203125,135.31593539975407,20.29739030996311,2025-03-14 13:23:50,null,tata,0
TRIP1741937930481,27.6833,84.4333,28.34306490482549,83.408203125,135.31593539975407,20.29739030996311,2025-03-14 13:23:50,2025-03-14 13:23:55,tata,0
TRIP1741942405607,27.7172,85.324,27.6766,85.3188,5.0,0.75,2025-03-14 14:38:25,null,tata,0
TRIP1741942418158,27.7172,85.324,27.0105,84.8774,135.0,20.25,2025-03-14 14:38:38,null,tata,0
TRIP1741942418158,27.7172,85.324,27.0105,84.8774,135.0,20.25,2025-03-14 14:38:38,2025-03-14 14:38:44,tata,0
TRIP1741943603150,27.7172,85.324,28.2096,83.9856,200.0,30.0,2025-03-14 14:58:23,null,tata,0
TRIP1741943970799,27.6766,85.3188,27.0105,84.8774,130.0,19.5,2025-03-14 15:04:30,null,tata,0
TRIP1741943970799,27.6766,85.3188,27.0105,84.8774,130.0,19.5,2025-03-14 15:04:30,2025-03-14 15:04:52,tata,0
TRIP1741944023484,27.7172,85.324,28.2096,83.9856,200.0,30.0,2025-03-14 15:05:23,null,tata,0
TRIP1741944023484,27.7172,85.324,28.2096,83.9856,200.0,30.0,2025-03-14 15:05:23,2025-03-14 15:05:42,tata,0
TRIP1741944484658,28.2096,83.9856,27.7172,85.324,200.0,30.3,2025-03-14 15:13:04,null,tata,0
TRIP1742026531484,27.7172,85.324,28.2096,83.9856,200.0,30.0,2025-03-15 14:00:31,null,tata,0
